brand_name,date,currency,sales_channel,transaction_timestamp,order_created_at,order_updated_at,order_id,order_name,country,region,billing_country,billing_province,billing_city,order_tags,product_id,product_title,product_tags,product_type,variant_title,gross_sales,net_sales,total_sales,orders,returns_inr,return_rate,items_sold,items_returned,avg_order_value,new_customer_orders,returning_customer_orders,avg_items_per_order,discounts_inr,sku,customer_sale_type,customer_id,shipping_country
Brand A,3/27/2026,inr,Online Store,2026-03-27 07:21:55+00:00,2026-03-27 07:21:56+00:00,2026-03-27 07:21:58+00:00,6417000000000.00,#1069,India,India,India,,Thane,,,,,,,0,0,144.808743,0,0,,0,,,0,,,0,,FIRST-TIME,,India
Brand A,3/8/2026,INR,Online Store,2026-03-08 11:49:25+00:00,2026-03-08 11:49:27+00:00,,6393250000000.00,#1067,United Kingdom,Rest Of The World,United Kingdom,England,Hounslow,,,,,,,0,0,17220.40068,0,0,,0,,,0,,,0,,First-time,9180670000000.00,India
Brand A,3/8/2026,INR,Online Store,2026-03-07 22:39:22+00:00,,2026-03-07 22:39:25+00:00,6392670000000.00,#1066,United States,Usa,United States,California,Fremont,,,,,,,,0,148.45173,0,0,,0,,,0,,,0,,First-time,9064100000000.00,India
,3/27/2026,,,2026-03-27 07:21:55+00:00,2026-03-27 07:21:56+00:00,2026-03-27 07:21:58+00:00,840627000000000.00,#1069,India,India,India,Maharashtra,Thane,,8.72E+12,Elora Dress,"Dress, eoss-25, Floral, Linen, Maxi Dress, Midi Dress, Non-Rts, Summer Dress",Dress,XXL,5009.107468,4508.196721,4508.196721,1,0,0,1,,4508.196721,1,,1,500.910747,,First-time,9243680000000.00,India
Brand A,3/26/2026,INR,Online Store,2026-03-26 12:28:29+00:00,,,6416000000000.00,#1068,India,India,India,Rajasthan,Jaipur,,8.97E+12,georgina tunic set,"all, bestseller, Non-Rts, Sofia's Garden, sr23-feb, Tag_NewArrival, Tops & Tunics",Tunic Set,,8014.571949,7213.114754,7213.114754,0,0,0,1,,,0,,,801.457195,GEOR-IV,First-time,9242520000000.00,
Brand A,,inr,Online Store,,2026-03-07 22:39:24+00:00,2026-03-07 22:39:25+00:00,837440000000000.00,#1066,,,United States,,Fremont,,8.72E+12,Hyacinth Kurta Set,"Co-ord, eoss-25, Express shipping, Kurta, Kurta Set",CO-ORD,M / Kurta Set + Stole,,9836.065574,9836.065574,1,0,0,1,,9836.065574,1,,1,1092.896175,,First-time,9064100000000.00,INDIA
Brand A,,INR,Online Store,2026-02-07 13:00:14+00:00,2026-02-07 13:00:16+00:00,2026-02-07 13:00:18+00:00,832777000000000.00,#1060,Singapore,Rest Of The World,Singapore,,Singapore,,,,,,,0,0,0,0,0,,0,0,,0,,,0,,First-time,9110630000000.00,
Brand A,2/7/2026,INR,Online Store,2026-02-06 18:47:23+00:00,2026-02-06 18:47:25+00:00,2026-02-06 18:47:27+00:00,832666000000000.00,#1059,United Kingdom,Rest Of The World,United Kingdom,England,Maidenhead,,,,,,,0,0,0,0,0,,0,,,0,,,0,,First-time,9109680000000.00,United Kingdom
Brand A,,INR,Online Store,,2026-02-07 13:05:15+00:00,2026-02-09 12:12:21+00:00,6357080000000.00,#1061,India,India,,Uttar Pradesh,,,,,,,,0,0,152.195838,0,0,,0,,,0,,,0,,First-time,9110640000000.00,India
Brand A,2/4/2026,INR,Online Store,2026-02-04 14:48:16+00:00,,2026-02-04 14:48:19+00:00,6353430000000.00,#1058,United States,Usa,United States,Texas,,,,,,,,0,0,152.195838,0,0,,0,,,0,,,0,,first-time,9106040000000.00,India
Brand A,2/18/2026,INR,Online Store,2026-02-18 15:05:01+00:00,2026-02-18 15:05:02+00:00,2026-02-18 15:05:04+00:00,6370790000000.00,#1062,United States,Usa,United States,NORTH CAROLINA,High Point,,,,,,,0,0,152.195838,0,0,,0,,,0,,,0,,first-time,9141370000000.00,INDIA
Brand A,2/19/2026,INR,Online Store,2026-02-18 19:45:26+00:00,2026-02-18 19:45:27+00:00,2026-02-18 19:45:29+00:00,6371110000000.00,#1063,Canada,Rest Of The World,Canada,Alberta,Calgary,,,,,,,0,0,2750.527184,0,0,,0,,,0,,0,0,,First-time,9131960000000.00,CANADA
,,INR,Online Store,2026-02-25 18:57:24+00:00,2026-02-25 18:57:25+00:00,2026-02-25 18:57:26+00:00,6379270000000.00,#1065,United Arab Emirates,,United Arab Emirates,Dubai,,,,,,,,0,0,2750.527184,0,0,,0,,,0,,,0,,First-time,0.00,UNITED ARAB EMIRATES
Brand A,2/26/2026,INR,,2026-02-25 18:57:24+00:00,2026-02-25 18:57:25+00:00,2026-02-25 18:57:26+00:00,-835684000000000.00,#1065,United Arab Emirates,Middle East,,Dubai,Dubai,,8.72E+12,Rosaline Kurta Set,,Co-ord,S / Kurta Set + Stole,1342257.266,11002.10874,11002.10874,1,0,0,55,,11002.10874,1,,1,0,,First-time,9160910000000.00,United Arab Emirates
Brand A,2/7/2026,INR,Online Store,2026-02-06 18:47:23+00:00,2026-02-06 18:47:25+00:00,2026-02-06 18:47:27+00:00,6356230000000.00,#1059,United Kingdom,Rest Of The World,United Kingdom,England,Maidenhead,,8.84E+12,Auburn Stole,"Category_Stole, Collection_Lumiere, Tag_NewArrival",Stole,M,3667.369579,,,0,0,0,55,,,,,,366.736958,AUBURNSTOLE-MULTI,First-time,1002064800000000.00,United Kingdom
,,INR,Online Store,2026-02-24 13:27:52+00:00,,2026-02-24 13:27:55+00:00,6377750000000.00,#1064,Australia,Rest Of The World,Australia,Victoria,South Morang,,8.72E+12,Esther Stole,,Stole,One Size,7334.739158,6601.265243,6601.265243,0,0,0,2,,,0,,,733.473916,,First-time,9158150000000.00,AUSTRALIA
Brand A,,INR,Online Store,,2026-02-04 14:48:18+00:00,2026-02-04 14:48:19+00:00,832299000000000.00,#1058,United States,Usa,United States,Texas,Austin,,8.95E+12,Divya Boppana in Amelia Long Kurta Set,celeb,,,9443.476666,8499.129,8499.129,1,0,0,1,,8499.128999,,,1,944.347667,,First-time,9106040000000.00,India
Brand A,2/24/2026,INR,Online Store,2026-02-24 13:27:52+00:00,2026-02-24 13:27:54+00:00,2026-02-24 13:27:55+00:00,835485000000000.00,#1064,Australia,Rest Of The World,Australia,VICTORIA,,,8.72E+12,Esther Kurta Set,,Co-ord,M / Kurta Set,10085.26634,9076.739708,,1,0,0,1,,9076.739709,1,,1,1008.526634,,FIRST-TIME,9158150000000.00,Australia
Brand B,1/25/2026,INR,Draft Orders,2026-01-25 07:20:51+00:00,2026-01-17 18:02:17+00:00,2026-01-25 07:20:53+00:00,6945270000000.00,#5083,India,India,India,Haryana,,,0,UNNATI,"bestseller_12jan26, Category_Saree, Mehfil, mehfil_women, new arrivals, Nov_24, Others Shipping, Women-10k-Shipping, Womenswear",Saree,CUSTOM,0,0,0,0,0,,,0,,0,,,0,MMMWC26-919,First-time,9063030000000.00,India
Brand B,1/19/2026,INR,Online Store,2026-01-18 18:53:36+00:00,2026-01-18 18:53:37+00:00,2026-01-18 18:53:38+00:00,6947110000000.00,,Canada,Rest Of The World,Canada,ontario,Mississauga,,,,,,,0,0,0,0,0,,0,,,0,,,0,,First-time,9065130000000.00,India
Brand B,,inr,Online Store,2026-01-24 07:02:26+00:00,2026-01-24 07:02:29+00:00,2026-01-27 11:19:47+00:00,6957420000000.00,#5105,Canada,Rest Of The World,Canada,Ontario,Vaughan,,,,,,,0,0,0,0,0,,0,,,0,,,0,,First-time,9080440000000.00,India
Brand B,1/6/2026,INR,Online Store,2026-01-06 13:15:23+00:00,2026-01-06 13:15:24+00:00,2026-01-06 13:15:26+00:00,907040000000000.00,#5050,India,India,India,Tamil Nadu,Chennai,,,,,,,0,0,0,0,0,,0,,,0,,,0,,First-time,,India
Brand B,1/9/2026,INR,Online Store,2026-01-09 12:30:42+00:00,2026-01-09 12:30:45+00:00,2026-01-09 12:30:48+00:00,907797000000000.00,#5062,India,India,India,Gujarat,"Punagam, Surat",,,,,,,0,0,0,0,0,,0,,,0,,,0,,First-time,9043080000000.00,
Brand B,1/10/2026,INR,Online Store,,2026-01-10 10:17:53+00:00,2026-01-10 10:17:55+00:00,6931510000000.00,#5065,India,India,India,Telangana,Hyderabad,,,,,,,0,,0,0,0,,0,,,0,,,,,First-time,9046720000000.00,India
Brand B,1/10/2026,INR,Online Store,2026-01-10 17:35:23+00:00,2026-01-10 17:35:27+00:00,2026-01-10 17:35:28+00:00,6932050000000.00,#5069,India,India,India,Gujarat,Surat,,,,,,,0,0,0,0,0,,0,,,0,,,0,,First-time,,India
Brand B,1/14/2026,INR,Online Store,2026-01-14 07:53:04+00:00,2026-01-14 07:53:05+00:00,2026-01-14 08:05:38+00:00,6938800000000.00,#5073,India,India,India,Maharashtra,Solapur,,,,,,,0,,0,0,0,,0,,,0,,,0,,first-time,9056450000000.00,India
Brand B,1/24/2026,INR,Online Store,2026-01-23 18:46:19+00:00,2026-01-23 18:46:21+00:00,2026-01-23 18:46:22+00:00,911286000000000.00,#5102,India,India,India,Delhi,Delhi,,,,,,,0,0,0,0,0,,0,,,0,,,0,,FIRST-TIME,9079440000000.00,India
Brand B,1/24/2026,INR,Online Store,2026-01-24 06:29:59+00:00,2026-01-24 06:30:01+00:00,2026-01-24 06:30:02+00:00,911418000000000.00,#5104,India,India,,Haryana,Panchkula,,,,,,,0,0,0,,0,,0,,,0,0,,0,,First-time,9080420000000.00,India
Brand B,1/24/2026,INR,Online Store,2026-01-24 08:10:24+00:00,2026-01-24 08:10:29+00:00,2026-01-24 08:10:31+00:00,6957490000000.00,#5107,India,India,India,Haryana,,,,,,,,,0,0,0,0,,0,,,0,,,0,,First-time,9080510000000.00,India
Brand B,1/24/2026,,Online Store,,2026-01-24 10:07:15+00:00,2026-01-24 10:49:05+00:00,6957570000000.00,#5110,India,India,India,,Bengaluru,,,,,,,0,0,0,0,0,,0,,,0,,,0,,,,India
Brand B,1/24/2026,INR,Online Store,2026-01-24 15:52:31+00:00,2026-01-24 15:52:33+00:00,2026-01-27 12:00:31+00:00,6957880000000.00,#5115,,India,India,Maharashtra,Mumbai,,,,,,,0,0,0,0,0,,0,,,0,,,0,,First-time,0.00,India
Brand B,1/24/2026,,Online Store,2026-01-24 17:50:52+00:00,2026-01-24 17:50:53+00:00,2026-01-24 17:50:55+00:00,6958090000000.00,#5119,India,India,,Delhi,New Delhi,,,,,,,0,0,0,0,0,,0,,,0,,,0,,First-time,9081240000000.00,India
Brand B,,INR,Online Store,2026-01-24 19:25:50+00:00,2026-01-24 19:25:52+00:00,2026-01-24 19:25:53+00:00,6958240000000.00,#5120,,India,India,Delhi,Delhi,,,,,,,0,0,0,0,0,,0,,,0,,,0,,First-time,9081410000000.00,India
Brand B,1/25/2026,INR,Online Store,2026-01-24 22:04:10+00:00,,2026-01-27 10:25:10+00:00,6958490000000.00,,India,India,India,Punjab,Patiala,,,,,,,0,0,0,0,0,,0,,,0,,,0,,First-time,9081640000000.00,India
Brand B,1/25/2026,inr,Online Store,2026-01-25 16:12:21+00:00,2026-01-25 16:12:21+00:00,2026-01-26 03:49:07+00:00,6959570000000.00,#5134,India,India,India,Kerala,,,,,,,,0,0,0,0,0,,0,,,0,,,0,,First-time,9081550000000.00,India
Brand B,1/26/2026,INR,Online Store,2026-01-25 19:44:07+00:00,2026-01-25 19:44:10+00:00,2026-01-28 08:24:53+00:00,6959860000000.00,#5139,India,India,India,Punjab,Ludhiana,,,,,,,,0,0,0,0,,0,,,,,,0,,First-time,-8806630000000.00,India
Brand B,1/26/2026,INR,,2026-01-25 23:48:32+00:00,2026-01-25 23:48:38+00:00,2026-01-28 13:40:04+00:00,6960190000000.00,#5140,India,India,India,Delhi,,,,,,,,0,0,,0,,,0,,,,,,0,,First-time,9082440000000.00,India
Brand B,1/26/2026,inr,Online Store,2026-01-26 02:20:40+00:00,2026-01-26 02:20:43+00:00,,6960380000000.00,,India,India,India,Delhi,New Delhi,,,,,,,0,0,0,0,0,,0,,,0,,,0,,First-time,9084110000000.00,India
Brand B,1/26/2026,INR,Online Store,2026-01-26 04:37:59+00:00,2026-01-26 04:38:01+00:00,2026-01-26 04:38:02+00:00,911832000000000.00,#5146,India,India,India,Gujarat,Vadodara,,,,,,,0,0,0,0,0,,0,,,0,,,0,,First-time,9084340000000.00,India
Brand B,1/26/2026,INR,Online Store,2026-01-26 09:21:35+00:00,2026-01-26 09:21:40+00:00,2026-01-27 09:31:18+00:00,911866000000000.00,#5150,India,India,India,Delhi,Delhi,,,,,,,0,0,0,0,0,,0,,,0,,,0,,First-time,7728750000000.00,India
Brand B,1/26/2026,INR,Online Store,2026-01-26 10:43:59+00:00,2026-01-26 10:44:01+00:00,2026-01-26 10:44:02+00:00,911875000000000.00,#5151,India,India,India,Telangana,Hyderabad,,,,,,,0,0,0,0,0,,0,,,0,,,0,,first-time,9084720000000.00,india
Brand B,1/26/2026,INR,Online Store,2026-01-26 11:10:38+00:00,2026-01-26 11:10:38+00:00,2026-01-26 11:10:40+00:00,6960900000000.00,#5152,India,India,India,Karnataka,Bengaluru,,,,,,,,0,0,0,0,,0,,,0,,,0,,first-time,9012450000000.00,India
Brand B,1/28/2026,INR,Online Store,2026-01-28 03:57:27+00:00,2026-01-28 03:57:28+00:00,2026-01-28 03:57:31+00:00,6964230000000.00,#5164,India,India,India,Maharashtra,Mumbai,,,,,,,0,0,0,0,0,,0,,,0,,,0,,First-time,-9088570000000.00,India
Brand B,1/2/2026,INR,Online Store,2026-01-02 04:35:01+00:00,,2026-01-02 04:35:04+00:00,6916550000000.00,#5025,United States,Usa,United States,Georgia,Alpharetta,,,,,,,0,0,,0,0,,0,,,0,,,0,,First-time,9028640000000.00,India
Brand B,1/4/2026,,Online Store,2026-01-04 03:52:40+00:00,2026-01-04 03:52:42+00:00,,6920070000000.00,#5035,United States,Usa,United States,California,East Palo Alto,,,,,,,0,0,0,0,0,,0,,,0,,0,,,First-time,9033040000000.00,India
Brand B,,INR,Online Store,2026-01-04 22:11:26+00:00,2026-01-04 22:11:30+00:00,,6921270000000.00,#5039,United States,Usa,United States,New Jersey,Morristown,,,,,,,0,0,0,0,0,,0,,,0,,,0,,First-time,9034630000000.00,India
Brand B,1/7/2026,INR,Online Store,2026-01-07 17:33:13+00:00,2026-01-07 17:33:14+00:00,2026-01-07 17:33:16+00:00,6926280000000.00,#5054,United States,Usa,United States,Massachusetts,Attleboro,,,,,,,,0,0,0,0,,0,,,0,,,0,,First-time,9040870000000.00,India
Brand B,1/17/2026,INR,Online Store,,2026-01-16 22:45:04+00:00,2026-01-16 22:45:05+00:00,6943950000000.00,#5082,United States,Usa,United States,,Roseville,,,,,,,0,0,0,0,0,,0,,,0,,,0,,First-time,9061310000000.00,
Brand B,1/25/2026,,Online Store,2026-01-25 05:53:44+00:00,2026-01-25 05:53:45+00:00,,6959030000000.00,#5129,United States,Usa,United States,New York,New York,,,,,,,0,0,0,0,0,,0,,,0,,,0,,First-time,988385200000000.00,INDIA
Brand B,1/25/2026,INR,Online Store,,2026-01-25 18:26:50+00:00,2026-01-28 13:42:21+00:00,911727000000000.00,#5135,United States,Usa,,New Jersey,Clifton,,,,,,,0,0,,0,0,,0,,,0,0,,0,,First-time,9083260000000.00,INDIA
Brand B,,INR,Online Store,,2026-01-26 02:51:56+00:00,2026-01-28 09:56:42+00:00,6960420000000.00,#5144,United States,Usa,,New York,Hopewell Junction,,,,,,,,0,0,0,0,,0,,,0,,,0,,First-time,9084170000000.00,India
,1/25/2026,INR,Online Store,2026-01-25 06:04:57+00:00,,2026-01-25 06:05:00+00:00,6959040000000.00,#5130,India,India,India,Haryana,Gurgaon,,,,,,,0,0,0,0,,,0,,,,0,,0,,Returning,6604890000000.00,India
Brand B,1/25/2026,INR,Online Store,,2026-01-25 13:25:27+00:00,2026-01-25 13:25:29+00:00,6959390000000.00,#5131,India,India,India,Rajasthan,Kuchaman City,,,,,,,,0,0,0,0,,0,,,,0,,0,,RETURNING,8679530000000.00,India
Brand B,1/29/2026,INR,Online Store,2026-01-28 23:50:17+00:00,2026-01-28 23:50:21+00:00,2026-01-31 09:44:43+00:00,6965730000000.00,#5168,India,India,India,Telangana,Secunderabad,,,,,,,0,0,0,0,0,,0,,,,0,,0,,Returning,0.00,India
Brand B,1/24/2026,INR,Online Store,2026-01-24 14:48:03+00:00,2026-01-24 14:48:06+00:00,2026-01-27 13:26:43+00:00,6957790000000.00,#5112,United States,Usa,,,Alpharetta,,,,,,,0,0,0,0,0,,0,,,,0,,0,,Returning,9028640000000.00,india
Brand B,1/31/2026,INR,Online Store,,2026-01-30 19:27:46+00:00,,6969310000000.00,#5174,India,India,India,Odisha,Bhubaneswar,,,,,,,0,0,0,0,0,,0,,,,0,,0,,Returning,,India
Brand B,1/2/2026,INR,Online Store,2026-01-02 12:24:17+00:00,2026-01-02 12:24:19+00:00,2026-01-02 12:41:23+00:00,0.00,#5028,Australia,Rest Of The World,Australia,Queensland,Middle Park,,,,,,,0,0,4000,0,0,,0,,,,0,,,,Returning,8876610000000.00,Australia
Brand B,1/1/2026,INR,Online Store,2026-01-01 16:41:05+00:00,2026-01-01 16:41:07+00:00,2026-01-01 16:41:08+00:00,6915620000000.00,,,Middle East,Saudi Arabia,,Riyadh,,,,,,,0,0,4000,0,0,,0,,,0,,,0,,First-time,992611400000000.00,Saudi Arabia
Brand B,1/15/2026,INR,Online Store,2026-01-15 12:25:07+00:00,2026-01-15 12:25:10+00:00,2026-01-15 12:25:12+00:00,909259000000000.00,#5079,Saudi Arabia,Middle East,Saudi Arabia,,Makkah Al Mukarramah,,0,,,,,0,0,4000,0,0,,0,,,0,,,0,,,9041460000000.00,Saudi Arabia
Brand B,1/19/2026,inr,Online Store,,2026-01-19 10:37:37+00:00,2026-01-19 10:37:39+00:00,6948260000000.00,#5088,Saudi Arabia,Middle East,Saudi Arabia,,Riyadh,,,,,,,0,0,4000,0,0,,,,,0,,,0,,First-time,9066440000000.00,
Brand B,1/5/2026,INR,Online Store,,2026-01-05 09:19:06+00:00,,6922020000000.00,#5041,United Arab Emirates,Middle East,United Arab Emirates,Dubai,Dubai,,,,,,,0,0,4000,0,0,,0,0,,,0,,0,,RETURNING,882413400000000.00,
Brand B,1/6/2026,INR,Draft Orders,2026-01-06 09:17:59+00:00,2026-01-06 09:17:59+00:00,2026-01-06 09:19:00+00:00,6923790000000.00,#5049,United States,Usa,United States,california,San Marino,,,,,,,0,0,4000,0,0,,0,,,0,,,0,,First-time,9037920000000.00,United States
,1/14/2026,INR,Online Store,2026-01-14 13:32:01+00:00,,2026-01-14 13:32:06+00:00,909023000000000.00,#5074,United States,Usa,United States,New Jersey,North Brunswick,,,,,,,0,0,4000,0,0,,0,,,0,,,0,,First-time,8341620000000.00,United States
Brand B,1/21/2026,INR,Online Store,2026-01-20 21:54:33+00:00,2026-01-20 21:54:34+00:00,2026-01-20 21:54:36+00:00,6951000000000.00,#5095,United States,Usa,United States,,Manalapan Township,,,,,,,0,0,4000,0,,,0,,,0,,,0,,,997946400000000.00,United States
Brand B,1/10/2026,INR,Draft Orders,2026-01-10 12:39:26+00:00,2026-01-10 12:39:26+00:00,2026-01-10 12:40:27+00:00,6931600000000.00,#5066,Saudi Arabia,Middle East,Saudi Arabia,,Riyadh,,,,,,,5500,5500,11500,0,0,0,1,,,0,,,0,,First-time,9040340000000.00,Saudi Arabia
Brand B,1/9/2026,INR,Online Store,2026-01-09 10:22:21+00:00,2026-01-09 10:22:24+00:00,2026-01-09 10:22:25+00:00,6929650000000.00,#5060,Australia,Rest Of The World,Australia,Queensland,Stretton,,,,,,,0,0,6000,0,0,,0,,,0,,,0,,First-time,9043710000000.00,Australia
Brand B,1/6/2026,INR,Draft Orders,2026-01-06 08:53:14+00:00,2026-01-06 08:53:14+00:00,2026-01-06 08:53:16+00:00,6923780000000.00,#5046,Canada,Rest Of The World,Canada,ONTARIO,Cambridge,,,,,,,9500,9500,0,0,0,0,1,,,0,,,,,First-time,9037900000000.00,Canada
,1/15/2026,INR,,2026-01-15 10:11:23+00:00,2026-01-15 10:11:23+00:00,,6940800000000.00,#5077,Canada,Rest Of The World,Canada,Ontario,Brampton,,,,,,,12000,,18000,0,0,0,1,,,0,,,0,,First-time,9058350000000.00,Canada
Brand B,1/19/2026,INR,Online Store,2026-01-19 03:25:14+00:00,2026-01-19 03:25:17+00:00,2026-01-19 03:25:18+00:00,6947860000000.00,#5087,,Rest Of The World,Canada,British Columbia,Surrey,,,,,,,0,0,0,0,0,,0,,,0,,,0,,First-time,9059310000000.00,Canada
Brand B,1/21/2026,INR,Draft Orders,2026-01-21 08:31:02+00:00,2026-01-21 08:31:02+00:00,,6951860000000.00,#5097,Australia,Rest Of The World,Australia,,,,,,,,,11440.68,1224152.76,19500,0,0,0,1,,,0,,,0,,First-time,9073110000000.00,India
Brand B,1/9/2026,INR,Online Store,,2026-01-09 13:30:23+00:00,2026-01-09 13:30:25+00:00,6929810000000.00,#5063,Saudi Arabia,Middle East,Saudi Arabia,,Dhahran,,,,,,,0,0,6000,0,0,,0,,,0,,,0,,,9044910000000.00,
